dataset,methods,communication latency,packet loss,translation error,rotation error,AP,ATE,ASE,AOE,AVE,AMOTA,AMOTP,RECALL,MOTAR,GT,MOTA,MOTP,MT,ML,FAF,TP,FP,FN,IDS,FRAG,TID,LGD
50scenes_25m,2a1-v2x-vit,0,0,0,5,0.346,0.563,0.139,0.238,3.317,0.369,1.247,0.493,0.579,8320,0.277,0.595,16,39,112.6,3985,1678,4217,118,289,6.56,16.17
50scenes_25m,2a2-where2comm,0,0,0,0,0.396,0.424,0.11,0.197,3.327,0.406,1.218,0.474,0.802,8320,0.379,0.45,17,40,52.3,3934,779,4377,9,46,9.5,14.26
50scenes_25m,2a2-where2comm,100,0,0,0,0.39,0.436,0.111,0.198,3.332,0.408,1.221,0.473,0.791,8265,0.373,0.464,17,40,55.1,3897,816,4359,9,47,8.57,13.86
50scenes_25m,2a2-where2comm,200,0,0,0,0.381,0.446,0.11,0.193,3.317,0.402,1.229,0.451,0.817,8210,0.367,0.458,18,44,46.1,3693,677,4511,6,35,8.11,13.49
50scenes_25m,2a2-where2comm,300,0,0,0,0.37,0.46,0.11,0.197,3.306,0.397,1.234,0.451,0.797,8155,0.359,0.475,18,43,51,3674,745,4474,7,45,7.89,12.24
50scenes_25m,2a2-where2comm,400,0,0,0,0.362,0.472,0.111,0.201,3.287,0.376,1.269,0.452,0.781,8100,0.352,0.485,18,42,55.2,3653,801,4440,7,45,8.94,13.55
50scenes_25m,2a2-where2comm,0,0.1,0,0,0.395,0.418,0.109,0.2,3.331,0.407,1.21,0.498,0.755,8320,0.375,0.465,18,35,67.8,4129,1010,4178,13,60,7.62,17.04
50scenes_25m,2a2-where2comm,0,0.2,0,0,0.391,0.415,0.108,0.204,3.339,0.401,1.211,0.472,0.789,8320,0.371,0.439,19,39,55.3,3913,824,4394,13,56,7.82,14.73
50scenes_25m,2a2-where2comm,0,0.3,0,0,0.389,0.409,0.105,0.203,3.346,0.403,1.21,0.464,0.801,8320,0.37,0.434,20,40,51.5,3845,767,4461,14,53,8.58,15.21
50scenes_25m,2a2-where2comm,0,0.4,0,0,0.387,0.407,0.105,0.204,3.342,0.401,1.21,0.462,0.804,8320,0.37,0.431,20,40,50.3,3830,750,4477,13,54,8.58,15.2
50scenes_25m,2a2-where2comm,0,0.5,0,0,0.384,0.404,0.105,0.206,3.342,0.379,1.248,0.458,0.792,8320,0.361,0.431,19,40,52.8,3789,787,4513,18,58,8.59,15.72
50scenes_25m,2a2-where2comm,0,0,0.5,0,0.39,0.431,0.109,0.199,3.332,0.405,1.222,0.453,0.822,8320,0.372,0.429,18,43,45.1,3766,672,4548,6,43,9.09,14.39
50scenes_25m,2a2-where2comm,0,0,1,0,0.378,0.446,0.106,0.197,3.349,0.397,1.228,0.451,0.8,8320,0.36,0.456,17,43,50.2,3741,748,4570,9,72,8.78,13.84
50scenes_25m,2a2-where2comm,0,0,1.5,0,0.363,0.449,0.102,0.205,3.386,0.369,1.264,0.45,0.731,8320,0.328,0.484,16,42,67.4,3732,1005,4574,14,122,9.73,15.07
50scenes_25m,2a2-where2comm,0,0,2,0,0.353,0.443,0.101,0.208,3.402,0.359,1.265,0.433,0.709,8320,0.305,0.473,16,42,69.7,3574,1039,4719,27,127,8,13.64
50scenes_25m,2a2-where2comm,0,0,2.5,0,0.341,0.438,0.102,0.215,3.449,0.336,1.301,0.434,0.691,8320,0.297,0.467,15,39,74,3573,1103,4711,36,131,9.62,15.86
50scenes_25m,2a2-where2comm,0,0,0,1,0.392,0.434,0.109,0.201,3.344,0.404,1.221,0.451,0.828,8320,0.373,0.43,17,43,43.3,3747,645,4567,6,37,8.4,13.67
50scenes_25m,2a2-where2comm,0,0,0,2,0.383,0.437,0.108,0.202,3.357,0.397,1.226,0.449,0.795,8320,0.356,0.446,17,43,51.3,3723,764,4587,10,64,9.36,14.39
50scenes_25m,2a2-where2comm,0,0,0,3,0.374,0.435,0.106,0.204,3.369,0.39,1.221,0.45,0.764,8320,0.342,0.463,18,41,59.2,3731,882,4574,15,84,9.02,15.47
50scenes_25m,2a2-where2comm,0,0,0,4,0.362,0.434,0.105,0.21,3.377,0.367,1.259,0.455,0.734,8320,0.331,0.467,15,39,67.2,3758,1001,4538,24,103,8.19,14.96
50scenes_25m,2a2-where2comm,0,0,0,5,0.364,0.427,0.104,0.207,3.375,0.373,1.257,0.433,0.762,8320,0.327,0.442,15,42,57.2,3575,852,4718,27,100,8.22,14.84
50scenes_25m,2b1-cooptrack,0,0,0,0,0.479,0.545,0.123,0.356,3.189,0.488,1.066,0.452,0.84,8320,0.379,0.49,21,49,40.2,3755,599,4563,2,37,6.32,13.01
50scenes_25m,2b1-cooptrack,100,0,0,0,0.463,0.557,0.128,0.346,3.209,0.467,1.071,0.523,0.704,8265,0.368,0.546,22,39,86.2,4317,1276,3943,5,43,4.9,16.89
50scenes_25m,2b1-cooptrack,200,0,0,0,0.437,0.617,0.126,0.345,3.14,0.445,1.154,0.504,0.697,8210,0.349,0.59,22,43,85,4118,1249,4076,16,47,4.4,16.28
50scenes_25m,2b1-cooptrack,300,0,0,0,0.397,0.688,0.126,0.323,3.067,0.424,1.194,0.502,0.661,8155,0.331,0.672,21,42,94.8,4085,1384,4060,10,50,5.3,16.7
50scenes_25m,2b1-cooptrack,400,0,0,0,0.364,0.763,0.128,0.31,2.998,0.413,1.27,0.426,0.763,8100,0.325,0.72,17,50,56.3,3448,816,4651,1,31,9.22,17.04
50scenes_25m,2b1-cooptrack,0,0.1,0,0,0.459,0.531,0.125,0.357,3.24,0.465,1.061,0.409,0.841,8320,0.344,0.421,19,53,36.2,3398,539,4920,2,17,5.55,14.64
50scenes_25m,2b1-cooptrack,0,0.2,0,0,0.436,0.52,0.122,0.374,3.245,0.423,1.082,0.405,0.755,8320,0.305,0.406,18,54,55.3,3363,824,4952,5,26,4.33,15.09
50scenes_25m,2b1-cooptrack,0,0.3,0,0,0.422,0.519,0.125,0.361,3.241,0.412,1.085,0.428,0.742,8320,0.318,0.456,17,48,61.5,3559,917,4758,3,37,7.28,18.08
50scenes_25m,2b1-cooptrack,0,0.4,0,0,0.419,0.524,0.127,0.373,3.226,0.416,1.122,0.453,0.748,8320,0.339,0.471,19,46,63.8,3767,950,4547,6,45,5.89,16.88
50scenes_25m,2b1-cooptrack,0,0.5,0,0,0.396,0.522,0.125,0.364,3.258,0.401,1.122,0.431,0.719,8320,0.31,0.464,17,48,67.4,3582,1005,4730,8,43,6.71,18.46
50scenes_25m,2b1-cooptrack,0,0,0.5,0,0.439,0.634,0.126,0.357,3.259,0.459,1.124,0.48,0.745,8320,0.357,0.593,24,46,68.1,3983,1014,4326,11,51,5.76,14.05
50scenes_25m,2b1-cooptrack,0,0,1,0,0.365,0.772,0.126,0.358,3.314,0.393,1.247,0.438,0.672,8320,0.293,0.718,18,46,79.9,3632,1191,4680,8,71,5.69,15.33
50scenes_25m,2b1-cooptrack,0,0,1.5,0,0.327,0.866,0.128,0.352,3.384,0.348,1.323,0.432,0.67,8320,0.289,0.779,17,46,79.3,3587,1182,4724,9,108,6.05,18.22
50scenes_25m,2b1-cooptrack,0,0,2,0,0.291,0.864,0.127,0.369,3.414,0.267,1.37,0.372,0.581,8320,0.215,0.756,16,49,86.7,3082,1292,5225,13,177,8.42,18.59
50scenes_25m,2b1-cooptrack,0,0,2.5,0,0.265,0.83,0.134,0.394,3.326,0.227,1.383,0.251,0.811,8320,0.204,0.664,9,62,26.4,2088,394,6231,1,127,6.98,18.43
50scenes_25m,2b1-cooptrack,0,0,0,1,0.464,0.567,0.128,0.362,3.246,0.482,1.076,0.547,0.7,8320,0.382,0.574,24,37,91.3,4540,1361,3771,9,58,4.37,15.06
50scenes_25m,2b1-cooptrack,0,0,0,2,0.443,0.581,0.125,0.379,3.244,0.433,1.117,0.456,0.773,8320,0.352,0.538,21,47,57.8,3786,861,4528,6,44,6.64,16.55
50scenes_25m,2b1-cooptrack,0,0,0,3,0.419,0.59,0.128,0.367,3.217,0.42,1.125,0.459,0.713,8320,0.326,0.533,20,45,73.2,3804,1091,4504,12,47,6.76,15.5
50scenes_25m,2b1-cooptrack,0,0,0,4,0.412,0.6,0.126,0.382,3.204,0.416,1.171,0.432,0.809,8320,0.349,0.534,19,46,46,3593,686,4723,4,46,7.46,16.12
50scenes_25m,2b1-cooptrack,0,0,0,5,0.39,0.617,0.129,0.393,3.277,0.395,1.208,0.43,0.728,8320,0.313,0.539,19,48,65.4,3576,974,4740,4,57,6.21,16.3
50scenes_25m,2b2-univ2x,0,0,0,0,0.419,0.483,0.127,0.232,3.502,0.456,1.132,0.566,0.727,8320,0.41,0.584,21,32,85.8,4687,1278,3610,23,100,6.78,15.35
50scenes_25m,2b2-univ2x,100,0,0,0,0.412,0.496,0.127,0.232,3.493,0.456,1.134,0.567,0.681,8265,0.385,0.606,21,32,100.6,4668,1489,3575,22,106,6.73,15
50scenes_25m,2b2-univ2x,200,0,0,0,0.397,0.512,0.13,0.227,3.475,0.428,1.174,0.439,0.84,8210,0.368,0.503,18,50,39.3,3601,577,4605,4,61,5.56,15.12
50scenes_25m,2b2-univ2x,300,0,0,0,0.384,0.527,0.132,0.238,3.408,0.419,1.183,0.427,0.825,8155,0.352,0.535,16,47,41.6,3475,607,4675,5,59,6.53,13.66
50scenes_25m,2b2-univ2x,400,0,0,0,0.375,0.526,0.129,0.24,3.375,0.393,1.215,0.407,0.777,8100,0.316,0.517,16,51,50.5,3289,732,4805,6,61,6.24,14.16
50scenes_25m,2b2-univ2x,0,0.1,0,0,0.416,0.472,0.126,0.23,3.501,0.463,1.125,0.477,0.836,8320,0.398,0.505,18,41,43.6,3961,650,4351,8,62,7.84,15.92
50scenes_25m,2b2-univ2x,0,0.2,0,0,0.413,0.481,0.124,0.235,3.465,0.47,1.126,0.545,0.734,8320,0.397,0.568,19,32,80.5,4501,1199,3789,30,112,8.1,15.4
50scenes_25m,2b2-univ2x,0,0.3,0,0,0.41,0.475,0.122,0.235,3.421,0.457,1.165,0.528,0.757,8320,0.396,0.55,19,33,71.2,4358,1061,3927,35,107,7.79,16.06
50scenes_25m,2b2-univ2x,0,0.4,0,0,0.404,0.479,0.121,0.241,3.402,0.452,1.167,0.529,0.768,8320,0.402,0.555,19,32,67.9,4354,1011,3917,49,115,6.46,15.09
50scenes_25m,2b2-univ2x,0,0.5,0,0,0.397,0.476,0.121,0.24,3.388,0.434,1.195,0.525,0.755,8320,0.39,0.55,18,34,70.8,4300,1055,3956,64,129,6.24,15.92
